text,label
"ЛУКОЙЛ увеличил глубину переработки нефти",нефтегазовая промышленность
"Газпром нефть запустила цифровой контроль добычи",нефтегазовая промышленность
"Роснефть ввела в работу буровую установку",нефтегазовая промышленность
"На предприятии начали выпуск нефтегазового оборудования",нефтегазовая промышленность
"Компания модернизировала систему подготовки газа",нефтегазовая промышленность
"На месторождении увеличили дебит скважин",нефтегазовая промышленность
"Газоперерабатывающий завод расширил мощности",нефтегазовая промышленность
"Компания построила нефтепровод для промышленного объекта",нефтегазовая промышленность
"Нефтесервисное предприятие поставило оборудование для добычи",нефтегазовая промышленность
"На шельфовом проекте началось бурение",нефтегазовая промышленность
"Роснефть развивает производство катализаторов для НПЗ",нефтегазовая промышленность
"Газпром ввел новую линию переработки газа",нефтегазовая промышленность
"Предприятие увеличило выпуск дизельного топлива",нефтегазовая промышленность
"Компания модернизировала установку переработки нефтяного сырья",нефтегазовая промышленность
"КАМАЗ запустил серийное производство электробусов",автомобильная промышленность
"АвтоВАЗ расширил выпуск автомобилей Lada",автомобильная промышленность
"ГАЗ начал производство новой модели коммерческого транспорта",автомобильная промышленность
"УАЗ модернизировал линию сборки внедорожников",автомобильная промышленность
"Производитель автокомпонентов освоил выпуск тормозных систем",автомобильная промышленность
"На автозаводе запустили новый сварочный участок",автомобильная промышленность
"Компания увеличила производство автомобильных двигателей",автомобильная промышленность
"КАМАЗ внедрил цифровой контроль сборки грузовиков",автомобильная промышленность
"АвтоВАЗ начал выпуск новой комплектации автомобиля",автомобильная промышленность
"Предприятие локализовало производство автомобильной электроники",автомобильная промышленность
"На заводе начали выпуск кузовных деталей для автомобилей",автомобильная промышленность
"Компания разработала платформу для электромобилей",автомобильная промышленность
"Производитель расширил выпуск шин для коммерческого транспорта",автомобильная промышленность
"Автозавод модернизировал окрасочное производство",автомобильная промышленность
"КАМАЗ поставил партию грузовиков российским заказчикам",автомобильная промышленность
"Предприятие увеличило выпуск аккумуляторов для электромобилей",автомобильная промышленность
"Компания освоила производство трансмиссий для автомобилей",автомобильная промышленность
"На автомобильном предприятии обновили сборочный конвейер",автомобильная промышленность
"АвтоВАЗ модернизировал производство автокомпонентов",автомобильная промышленность
"Производитель коммерческого транспорта расширил мощности",автомобильная промышленность
"ГАЗ внедрил новую линию сборки автобусов",автомобильная промышленность
"УАЗ увеличил выпуск внедорожников",автомобильная промышленность
"Компания начала производство зарядных модулей для электромобилей",автомобильная промышленность
"На автозаводе освоили выпуск новых кузовов",автомобильная промышленность
"КАМАЗ разработал новый грузовой автомобиль",автомобильная промышленность
"Автозавод внедрил роботизированную сборку кузовов",автомобильная промышленность
"Компания разработала новый дизельный двигатель для грузовиков",автомобильная промышленность
"На предприятии начали выпуск автомобильных редукторов",автомобильная промышленность
"КАМАЗ модернизировал производство кабин грузовиков",автомобильная промышленность
"Производитель локализовал выпуск автомобильной электроники",автомобильная промышленность
"На предприятии модернизировали производство промышленных турбин",машиностроение
"Компания разработала новые гидравлические приводы",машиностроение
"На заводе начали выпуск промышленных вентиляторов",машиностроение
"Предприятие изготовило оборудование для химической промышленности",машиностроение
"Производитель освоил выпуск новых насосных агрегатов",машиностроение
"На предприятии обновили механосборочное производство",машиностроение
"Компания разработала промышленную систему приводов",машиностроение
"На заводе внедрили автоматизированную механообработку",машиностроение
"Предприятие расширило выпуск компрессорных станций",машиностроение
"Компания модернизировала производство промышленных станков",машиностроение
"На заводе начали выпуск металлорежущего оборудования",машиностроение
"Предприятие изготовило новые производственные механизмы",машиностроение
"Компания внедрила цифровое управление промышленными станками",машиностроение
"На предприятии расширили производство гидравлического оборудования",машиностроение
"Завод освоил выпуск промышленных редукторов",машиностроение
"На производстве внедрили систему анализа больших данных",технологии
"Компания разработала цифровую платформу промышленного мониторинга",технологии
"На предприятии внедрили искусственный интеллект для диагностики оборудования",технологии
"Производитель использует цифровые двойники производственных линий",технологии
"На заводе автоматизировали систему технического контроля",технологии
"Компания внедрила платформу промышленного IoT",технологии
"Предприятие использует нейросети для анализа технологических процессов",технологии
"На производстве внедрили интеллектуальную систему управления",технологии
"Компания разработала систему цифровой аналитики производства",технологии
"На предприятии модернизировали цифровую инфраструктуру завода",технологии
"Производитель внедрил систему предиктивного обслуживания оборудования",технологии
"На заводе начали использовать машинное обучение для контроля качества",технологии
"Компания создала промышленную платформу телеметрии",технологии
"Предприятие внедрило автоматизированную систему мониторинга",технологии
"На производстве начали использовать цифровую модель технологических процессов",технологии
"Компания представила опытный образец промышленного робота",инновации
"На предприятии испытали новую технологию обработки металла",инновации
"Разработчики создали экспериментальную систему автоматизации",инновации
"Компания внедряет перспективную производственную платформу",инновации
"На заводе протестировали инновационную систему управления",инновации
"Предприятие разработало новый промышленный модуль",инновации
"Компания представила пилотный проект цифрового производства",инновации
"На предприятии испытали опытный образец оборудования",инновации
"Разработчики создали новую технологию промышленной диагностики",инновации
"Компания внедрила экспериментальную производственную линию",инновации
"На заводе начали испытания роботизированной платформы",инновации
"Предприятие разработало перспективный промышленный комплекс",инновации
"Компания представила новую концепцию автоматизации производства",инновации
"На производстве протестировали инновационный метод обработки",инновации
"Разработчики внедрили пилотную систему промышленного контроля",инновации
"Инженеры разработали проект промышленной автоматизации",инжиниринг
"Компания выполнила проектирование технологической линии",инжиниринг
"На предприятии завершили инженерные расчеты оборудования",инжиниринг
"Инжиниринговая компания подготовила документацию для модернизации",инжиниринг
"Специалисты разработали проект реконструкции завода",инжиниринг
"Компания создала инженерную модель производственного комплекса",инжиниринг
"На предприятии внедрили систему инженерного мониторинга",инжиниринг
"Инженеры выполнили моделирование технологических процессов",инжиниринг
"Компания завершила проектирование промышленной инфраструктуры",инжиниринг
"На предприятии провели инженерный аудит оборудования",инжиниринг
"Инжиниринговая компания разработала решения для автоматизации",инжиниринг
"Специалисты выполнили расчеты промышленной безопасности",инжиниринг
"Компания модернизировала инженерные коммуникации предприятия",инжиниринг
"На производстве внедрили инженерную систему контроля",инжиниринг
"Инженеры разработали проект нового производственного участка",инжиниринг
"Трансмашхолдинг запустил производство новых локомотивов",железнодорожное машиностроение
"Синара модернизировала выпуск электропоездов",железнодорожное машиностроение
"На заводе начали сборку вагонов метро",железнодорожное машиностроение
"Предприятие изготовило тележки для пассажирских вагонов",железнодорожное машиностроение
"Компания разработала тяговые двигатели для локомотивов",железнодорожное машиностроение
"Уралвагонзавод расширил производство железнодорожных платформ",железнодорожное машиностроение
"На предприятии модернизировали производство вагонов",железнодорожное машиностроение
"Производитель начал выпуск комплектующих для поездов",железнодорожное машиностроение
"Трансмашхолдинг представил новый электровоз",железнодорожное машиностроение
"Компания поставила оборудование для рельсового транспорта",железнодорожное машиностроение
"На заводе обновили линию сборки локомотивов",железнодорожное машиностроение
"Предприятие освоило выпуск тормозных систем для поездов",железнодорожное машиностроение
"Синара разработала новый пассажирский электропоезд",железнодорожное машиностроение
"На производстве начали выпуск вагонных колесных пар",железнодорожное машиностроение
"Компания увеличила производство тягового оборудования",железнодорожное машиностроение
"Завод изготовил партию вагонов метро",железнодорожное машиностроение
"Предприятие модернизировало железнодорожные тележки",железнодорожное машиностроение
"Трансмашхолдинг поставил новые локомотивы",железнодорожное машиностроение
"Компания разработала системы управления электропоездами",железнодорожное машиностроение
"На заводе внедрили цифровой контроль сборки вагонов",железнодорожное машиностроение
"Предприятие расширило выпуск рельсовой техники",железнодорожное машиностроение
"Синара начала серийный выпуск поездов",железнодорожное машиностроение
"Производитель изготовил новые платформы для грузовых вагонов",железнодорожное машиностроение
"На предприятии обновили производство локомотивных агрегатов",железнодорожное машиностроение
"Компания разработала оборудование для железнодорожной инфраструктуры",железнодорожное машиностроение
"Трансмашхолдинг увеличил мощности производства вагонов",железнодорожное машиностроение
"На заводе начали выпуск компонентов для метро",железнодорожное машиностроение
"Предприятие изготовило тяговые электродвигатели",железнодорожное машиностроение
"Компания внедрила автоматизированную систему сборки поездов",железнодорожное машиностроение
"Синара модернизировала производство локомотивов",железнодорожное машиностроение
